BLOQUE,ID_EL1,EL1,ID_EL2,EL2,REL
01_AG,MC036,PLANIFICACIÓN PARA LA BIODIVERSIDAD URBANA,AG026,RIEGO DE ZONAS VERDES,-1
01_AG,BIO008,RIQUEZA DE ECOSISTEMAS DE LOS ESPACIOS PERI-URBANOS,AG007,CANTIDAD TOTAL DE AGUA,1
01_AG,BIO025,EROSIÓN Y DEGRADACIÓN DEL SUELO,AG008,AGUA CONTAMINADA,1
02_EN,CC007,NIVEL DE IMPACTO DEL CC SOBRE LOS PROCESOS PRODUCTIVOS Y ACTIVIDADES ECONÓMICAS,EN043,PRODUCCIÓN LOCAL EE.RR,-1
02_EN,MS016,DESPLAZAMIENTOS EN TRANSPORTE PÚBLICO,EN034,CONSUMO DE ENERGÍA ELÉCTRICA EN TRANSPORTE,1
02_EN,MS022,ELECTRIFICACIÓN DEL PARQUE PÚBLICO DE VEHÍCULOS (ECO),EN034,CONSUMO DE ENERGÍA ELÉCTRICA EN TRANSPORTE,1
02_EN,CC026,COMFORT TÉRMICO HOGAR,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,-1
02_EN,HOG001,NÚMERO DE HOGARES,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,1
02_EN,EN037,ALUMBRADO URBANO,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,1
02_EN,CC026,COMFORT TÉRMICO HOGAR,EN011,CONSUMO FINAL DE COMBUSTIBLES,-1
02_EN,DES024,ACCESO A VIVIENDA DE CALIDAD,EN030,EFICIENCIA ENERGÉTICA DE LAS VIVIENDAS,1
02_EN,EN028,COSTE DEL ABASTECIMIENTO ENERGÉTICO,EN027,HÁBITOS DE CONSUMO RESPONSABLE DE ENERGÍA ELÉCTRICA,1
02_EN,DES016,NIVEL DE EDUCACIÓN Y FORMACIÓN DE LA POBLACIÓN,EN027,HÁBITOS DE CONSUMO RESPONSABLE DE ENERGÍA ELÉCTRICA,1
02_EN,MC016,SOSTENIBILIDAD DEL DISEÑO DE CIUDAD,EN027,HÁBITOS DE CONSUMO RESPONSABLE DE ENERGÍA ELÉCTRICA,1
02_EN,EN030,EFICIENCIA ENERGÉTICA DE LAS VIVIENDAS,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,-1
02_EN,EN027,HÁBITOS DE CONSUMO RESPONSABLE DE ENERGÍA ELÉCTRICA,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,-1
02_EN,NOR002,NORMATIVA QUE CONTEMPLE MEDIDAS PUNITIVAS,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,-1
02_EN,EN042,EFICIENCIA ENERGÉTICA DEL PARQUE EDIFICATORIO PÚBLICO,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,-1
02_EN,EN035,MEDIDAS DE AHORRO Y EFICIENCIA ENERGÉTICA,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,-1
02_EN,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,EN028,COSTE DEL ABASTECIMIENTO ENERGÉTICO,1
02_EN,EN007,MIX ENERGÉTICO NACIONAL,EN028,COSTE DEL ABASTECIMIENTO ENERGÉTICO,1
02_EN,EN043,PRODUCCIÓN LOCAL EE.RR,EN028,COSTE DEL ABASTECIMIENTO ENERGÉTICO,-1
02_EN,EN028,COSTE DEL ABASTECIMIENTO ENERGÉTICO,EN009,ACCESIBILIDAD DE LA ENERGÍA,-1
02_EN,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,EN012,CONSUMO DE ENERGÍA PRIMARIA,1
02_EN,EN008,COSTE DEL COMBUSTIBLE,EN053,HÁBITOS DE CONSUMO RESPONSABLE DE COMBUSTIBLES,1
02_EN,DES016,NIVEL DE EDUCACIÓN Y FORMACIÓN DE LA POBLACIÓN,EN053,HÁBITOS DE CONSUMO RESPONSABLE DE COMBUSTIBLES,1
02_EN,MC016,SOSTENIBILIDAD DEL DISEÑO DE CIUDAD,EN053,HÁBITOS DE CONSUMO RESPONSABLE DE COMBUSTIBLES,1
02_EN,EN053,HÁBITOS DE CONSUMO RESPONSABLE DE COMBUSTIBLES,EN011,CONSUMO FINAL DE COMBUSTIBLES,-1
02_EN,EN030,EFICIENCIA ENERGÉTICA DE LAS VIVIENDAS,EN011,CONSUMO FINAL DE COMBUSTIBLES,-1
02_EN,EN035,MEDIDAS DE AHORRO Y EFICIENCIA ENERGÉTICA,EN011,CONSUMO FINAL DE COMBUSTIBLES,-1
02_EN,EN042,EFICIENCIA ENERGÉTICA DEL PARQUE EDIFICATORIO PÚBLICO,EN011,CONSUMO FINAL DE COMBUSTIBLES,-1
02_EN,EN052,CONSUMO DE COMBUSTIBLES EN TRANSPORTE,EN011,CONSUMO FINAL DE COMBUSTIBLES,1
02_EN,HOG001,NÚMERO DE HOGARES,EN011,CONSUMO FINAL DE COMBUSTIBLES,1
02_EN,EN011,CONSUMO FINAL DE COMBUSTIBLES,EM012,EMISIONES DE LAS PLANTAS DE COMBUSTIÓN INDUSTRIAL,1
02_EN,EN011,CONSUMO FINAL DE COMBUSTIBLES,EM011,EMISIONES DE LAS PLANTAS DE COMBUSTIÓN NO INDUSTRIAL,1
02_EN,EN011,CONSUMO FINAL DE COMBUSTIBLES,EC116,GASTO EN BIENES DE PRIMERA NECESIDAD,1
02_EN,EN011,CONSUMO FINAL DE COMBUSTIBLES,EN012,CONSUMO DE ENERGÍA PRIMARIA,1
02_EN,CC043,CONSUMO ENERGÉTICO EN LA ACTIVIDAD,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,1
02_EN,EC085,"ACTIVIDAD COMERCIAL, DE OCIO, HOSTELERÍA Y TURISMO (SERVICIOS)",EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,1
02_EN,EC085,"ACTIVIDAD COMERCIAL, DE OCIO, HOSTELERÍA Y TURISMO (SERVICIOS)",EN011,CONSUMO FINAL DE COMBUSTIBLES,1
02_EN,EC086,ACTIVIDAD INDUSTRIAL,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,1
02_EN,EC086,ACTIVIDAD INDUSTRIAL,EN011,CONSUMO FINAL DE COMBUSTIBLES,1
02_EN,EC087,ACTIVIDAD AGRARIA,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,1
02_EN,EC087,ACTIVIDAD AGRARIA,EN011,CONSUMO FINAL DE COMBUSTIBLES,1
02_EN,ECC008,RESIDUOS VALORIZADOS,EN043,PRODUCCIÓN LOCAL EE.RR,1
02_EN,EN028,COSTE DEL ABASTECIMIENTO ENERGÉTICO,EC116,GASTO EN BIENES DE PRIMERA NECESIDAD,1
02_EN,OD015,CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN,EN027,HÁBITOS DE CONSUMO RESPONSABLE DE ENERGÍA ELÉCTRICA,1
02_EN,OD015,CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN,EN053,HÁBITOS DE CONSUMO RESPONSABLE DE COMBUSTIBLES,1
02_EN,GOB008,CULTURA Y MARCOS MENTALES,EN027,HÁBITOS DE CONSUMO RESPONSABLE DE ENERGÍA ELÉCTRICA,1
02_EN,GOB008,CULTURA Y MARCOS MENTALES,EN053,HÁBITOS DE CONSUMO RESPONSABLE DE COMBUSTIBLES,1
02_EN,MC016,SOSTENIBILIDAD DEL DISEÑO DE CIUDAD,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,-1
02_EN,MC016,SOSTENIBILIDAD DEL DISEÑO DE CIUDAD,EN011,CONSUMO FINAL DE COMBUSTIBLES,-1
02_EN,MC071,ESTADO DEL PARQUE DE VIVIENDA,EN030,EFICIENCIA ENERGÉTICA DE LAS VIVIENDAS,1
02_EN,MS016,DESPLAZAMIENTOS EN TRANSPORTE PÚBLICO,EN052,CONSUMO DE COMBUSTIBLES EN TRANSPORTE,1
02_EN,MS019,DESPLAZAMIENTOS EN VEHÍCULO PRIVADO,EN034,CONSUMO DE ENERGÍA ELÉCTRICA EN TRANSPORTE,1
02_EN,MS019,DESPLAZAMIENTOS EN VEHÍCULO PRIVADO,EN052,CONSUMO DE COMBUSTIBLES EN TRANSPORTE,1
02_EN,MS021,ELECTRIFICACIÓN DE LA FLOTA DE VEHÍCULOS PRIVADOS (ECO),EN052,CONSUMO DE COMBUSTIBLES EN TRANSPORTE,-1
02_EN,MS021,ELECTRIFICACIÓN DE LA FLOTA DE VEHÍCULOS PRIVADOS (ECO),EN034,CONSUMO DE ENERGÍA ELÉCTRICA EN TRANSPORTE,1
02_EN,MS022,ELECTRIFICACIÓN DEL PARQUE PÚBLICO DE VEHÍCULOS (ECO),EN052,CONSUMO DE COMBUSTIBLES EN TRANSPORTE,-1
02_EN,DES011,ACCESO A BIENES DE CALIDAD Y DURABILIDAD,EN010,CONSUMO FINAL DE ENERGÍA ELÉCTRICA,-1
02_EN,EN009,ACCESIBILIDAD DE LA ENERGÍA,DES012,POBREZA ENERGÉTICA,-1
03_EM,CC003,NIVEL DE EXPOSICIÓN A LOS EFECTOS DEL CC,EM003,EMISIONES DE GEI DE LOS FENÓMENOS NATURALES,1
03_EM,EN012,CONSUMO DE ENERGÍA PRIMARIA,EM001,EMISIONES DE LA COMBUSTIÓN EN LA PRODUCCIÓN Y TRANSFORMACIÓN DE ENERGÍA,1
03_EM,EN012,CONSUMO DE ENERGÍA PRIMARIA,EM002,EMISIONES DE LA EXTRACCIÓN Y DISTRIBUCIÓN DE COMBUSTIBLES FÓSILES Y ENERGÍA GEOTÉRMICA,1
03_EM,EM001,EMISIONES DE LA COMBUSTIÓN EN LA PRODUCCIÓN Y TRANSFORMACIÓN DE ENERGÍA,EM009,EMISIONES ANTROPOGÉNICAS,1
03_EM,EM002,EMISIONES DE LA EXTRACCIÓN Y DISTRIBUCIÓN DE COMBUSTIBLES FÓSILES Y ENERGÍA GEOTÉRMICA,EM009,EMISIONES ANTROPOGÉNICAS,1
03_EM,EM011,EMISIONES DE LAS PLANTAS DE COMBUSTIÓN NO INDUSTRIAL,EM009,EMISIONES ANTROPOGÉNICAS,1
03_EM,EM012,EMISIONES DE LAS PLANTAS DE COMBUSTIÓN INDUSTRIAL,EM009,EMISIONES ANTROPOGÉNICAS,1
03_EM,EM013,EMISIONES DE LOS PROCESOS INDUSTRIALES SIN COMBUSTIÓN,EM009,EMISIONES ANTROPOGÉNICAS,1
03_EM,EM014,EMISIONES DEL USO DE DISOLVENTES Y OTROS PRODUCTOS,EM009,EMISIONES ANTROPOGÉNICAS,1
03_EM,EM018,EMISIONES DEL TRANSPORTE POR CARRETERA,EM009,EMISIONES ANTROPOGÉNICAS,1
03_EM,EM015,EMISIONES DEL TRATAMIENTO Y ELIMINACIÓN DE RESIDUOS,EM009,EMISIONES ANTROPOGÉNICAS,1
03_EM,EM016,EMISIONES DE LA AGRICULTURA,EM009,EMISIONES ANTROPOGÉNICAS,1
03_EM,EM017,EMISIONES DE OTROS MODOS DE TRANSPORTE Y MAQUINARIA MÓVIL,EM009,EMISIONES ANTROPOGÉNICAS,1
03_EM,EM009,EMISIONES ANTROPOGÉNICAS,EM006,"GASES DE EFECTO INVERNADERO (CO2, CH4, N2O,SF6,HFC,PFC)",1
03_EM,EM010,EMISIONES DE LOS CAMBIOS DE USO DEL SUELO,EM006,"GASES DE EFECTO INVERNADERO (CO2, CH4, N2O,SF6,HFC,PFC)",1
03_EM,EM003,EMISIONES DE GEI DE LOS FENÓMENOS NATURALES,EM006,"GASES DE EFECTO INVERNADERO (CO2, CH4, N2O,SF6,HFC,PFC)",1
03_EM,EM009,EMISIONES ANTROPOGÉNICAS,EM004,"ACIDIFICADORES (SOx, NOx,NH3)",1
03_EM,EM009,EMISIONES ANTROPOGÉNICAS,EM005,"PRECURSORES DEL OZONO TROPOSFÉRICO (NOx, COV, CH4, CO)",1
03_EM,EM009,EMISIONES ANTROPOGÉNICAS,EM007,"METALES PESADOS (As, Cd, Cr, Cu, Hg, Ni, Pb, Se, Zn)",1
03_EM,EM009,EMISIONES ANTROPOGÉNICAS,EM008,"PARTÍCULAS (PM2.5, PM10, PST, BC)",1
03_EM,EM006,"GASES DE EFECTO INVERNADERO (CO2, CH4, N2O,SF6,HFC,PFC)",EM004,"ACIDIFICADORES (SOx, NOx,NH3)",1
03_EM,EM006,"GASES DE EFECTO INVERNADERO (CO2, CH4, N2O,SF6,HFC,PFC)",EM005,"PRECURSORES DEL OZONO TROPOSFÉRICO (NOx, COV, CH4, CO)",1
03_EM,EM004,"ACIDIFICADORES (SOx, NOx,NH3)",EM019,ACIDIFICACIÓN,1
03_EM,EM004,"ACIDIFICADORES (SOx, NOx,NH3)",EM020,EUTROFIZACIÓN,1
03_EM,BIO013,CAMBIOS EN LOS USOS DEL SUELO,EM010,EMISIONES DE LOS CAMBIOS DE USO DEL SUELO,1
03_EM,EM007,"METALES PESADOS (As, Cd, Cr, Cu, Hg, Ni, Pb, Se, Zn)",EM021,TOXICIDAD PARA FAUNA Y FLORA,1
03_EM,EM019,ACIDIFICACIÓN,BIO009,RIQUEZA DE ESPECIES DE LOS ESPACIOS PERI-URBANOS,-1
03_EM,EM020,EUTROFIZACIÓN,BIO009,RIQUEZA DE ESPECIES DE LOS ESPACIOS PERI-URBANOS,-1
03_EM,EM021,TOXICIDAD PARA FAUNA Y FLORA,BIO009,RIQUEZA DE ESPECIES DE LOS ESPACIOS PERI-URBANOS,-1
03_EM,EN011,CONSUMO FINAL DE COMBUSTIBLES,EM016,EMISIONES DE LA AGRICULTURA,1
03_EM,EC086,ACTIVIDAD INDUSTRIAL,EM013,EMISIONES DE LOS PROCESOS INDUSTRIALES SIN COMBUSTIÓN,1
03_EM,EC086,ACTIVIDAD INDUSTRIAL,EM014,EMISIONES DEL USO DE DISOLVENTES Y OTROS PRODUCTOS,1
03_EM,EC087,ACTIVIDAD AGRARIA,EM016,EMISIONES DE LA AGRICULTURA,1
03_EM,ECC003,RESIDUOS NO CONTROLADOS,EM015,EMISIONES DEL TRATAMIENTO Y ELIMINACIÓN DE RESIDUOS,1
03_EM,ECC004,RESIDUOS DESCARTADOS Y ACUMULADOS,EM015,EMISIONES DEL TRATAMIENTO Y ELIMINACIÓN DE RESIDUOS,1
03_EM,ECC005,RESIDUOS REPARADOS,EM015,EMISIONES DEL TRATAMIENTO Y ELIMINACIÓN DE RESIDUOS,1
03_EM,ECC006,RESIDUOS REUTILIZADOS,EM015,EMISIONES DEL TRATAMIENTO Y ELIMINACIÓN DE RESIDUOS,1
03_EM,ECC007,RESIDUOS RECICLADOS,EM015,EMISIONES DEL TRATAMIENTO Y ELIMINACIÓN DE RESIDUOS,1
03_EM,ECC008,RESIDUOS VALORIZADOS,EM015,EMISIONES DEL TRATAMIENTO Y ELIMINACIÓN DE RESIDUOS,1
03_EM,ECC025,CONSUMO DE MATERIALES,EM009,EMISIONES ANTROPOGÉNICAS,1
03_EM,ECC074,ECONOMÍA DE PROXIMIDAD,EM017,EMISIONES DE OTROS MODOS DE TRANSPORTE Y MAQUINARIA MÓVIL,-1
03_EM,ECC074,ECONOMÍA DE PROXIMIDAD,EM018,EMISIONES DEL TRANSPORTE POR CARRETERA,-1
03_EM,ECC087,CONSUMO DE MATERIAS PRIMAS,EM010,EMISIONES DE LOS CAMBIOS DE USO DEL SUELO,1
03_EM,ECC087,CONSUMO DE MATERIAS PRIMAS,EM012,EMISIONES DE LAS PLANTAS DE COMBUSTIÓN INDUSTRIAL,1
03_EM,ECC087,CONSUMO DE MATERIAS PRIMAS,EM013,EMISIONES DE LOS PROCESOS INDUSTRIALES SIN COMBUSTIÓN,1
03_EM,ECC087,CONSUMO DE MATERIAS PRIMAS,EM014,EMISIONES DEL USO DE DISOLVENTES Y OTROS PRODUCTOS,1
03_EM,ECC087,CONSUMO DE MATERIAS PRIMAS,EM017,EMISIONES DE OTROS MODOS DE TRANSPORTE Y MAQUINARIA MÓVIL,1
03_EM,ECC087,CONSUMO DE MATERIAS PRIMAS,EM018,EMISIONES DEL TRANSPORTE POR CARRETERA,1
03_EM,ECC088,EMISIONES DE LA PRODUCCIÓN DE MATERIALES DE CONSTRUCCIÓN,EM012,EMISIONES DE LAS PLANTAS DE COMBUSTIÓN INDUSTRIAL,1
03_EM,ECC088,EMISIONES DE LA PRODUCCIÓN DE MATERIALES DE CONSTRUCCIÓN,EM013,EMISIONES DE LOS PROCESOS INDUSTRIALES SIN COMBUSTIÓN,1
03_EM,ECC088,EMISIONES DE LA PRODUCCIÓN DE MATERIALES DE CONSTRUCCIÓN,EM014,EMISIONES DEL USO DE DISOLVENTES Y OTROS PRODUCTOS,1
03_EM,MS016,DESPLAZAMIENTOS EN TRANSPORTE PÚBLICO,EM017,EMISIONES DE OTROS MODOS DE TRANSPORTE Y MAQUINARIA MÓVIL,1
03_EM,MS016,DESPLAZAMIENTOS EN TRANSPORTE PÚBLICO,EM018,EMISIONES DEL TRANSPORTE POR CARRETERA,1
03_EM,MS019,DESPLAZAMIENTOS EN VEHÍCULO PRIVADO,EM018,EMISIONES DEL TRANSPORTE POR CARRETERA,1
03_EM,MS021,ELECTRIFICACIÓN DE LA FLOTA DE VEHÍCULOS PRIVADOS (ECO),EM018,EMISIONES DEL TRANSPORTE POR CARRETERA,-1
03_EM,MS022,ELECTRIFICACIÓN DEL PARQUE PÚBLICO DE VEHÍCULOS (ECO),EM017,EMISIONES DE OTROS MODOS DE TRANSPORTE Y MAQUINARIA MÓVIL,-1
03_EM,MS022,ELECTRIFICACIÓN DEL PARQUE PÚBLICO DE VEHÍCULOS (ECO),EM018,EMISIONES DEL TRANSPORTE POR CARRETERA,-1
03_EM,MS038,TRANSPORTE DE MERCANCÍAS EN VEHÍCULO MOTORIZADO,EM018,EMISIONES DEL TRANSPORTE POR CARRETERA,1
03_EM,BIO027,CAMBIO EN LOS CICLOS DE CRECIMIENTO Y DESARROLLO Y EN LOS PATRONES DE COMPORTAMIENTO DE LAS ESPECIES,EM006,"GASES DE EFECTO INVERNADERO (CO2, CH4, N2O,SF6,HFC,PFC)",1
03_EM,EM004,"ACIDIFICADORES (SOx, NOx,NH3)",BIO027,CAMBIO EN LOS CICLOS DE CRECIMIENTO Y DESARROLLO Y EN LOS PATRONES DE COMPORTAMIENTO DE LAS ESPECIES,1
03_EM,EM005,"PRECURSORES DEL OZONO TROPOSFÉRICO (NOx, COV, CH4, CO)",BIO027,CAMBIO EN LOS CICLOS DE CRECIMIENTO Y DESARROLLO Y EN LOS PATRONES DE COMPORTAMIENTO DE LAS ESPECIES,1
03_EM,EM006,"GASES DE EFECTO INVERNADERO (CO2, CH4, N2O,SF6,HFC,PFC)",BIO027,CAMBIO EN LOS CICLOS DE CRECIMIENTO Y DESARROLLO Y EN LOS PATRONES DE COMPORTAMIENTO DE LAS ESPECIES,1
03_EM,EM007,"METALES PESADOS (As, Cd, Cr, Cu, Hg, Ni, Pb, Se, Zn)",BIO027,CAMBIO EN LOS CICLOS DE CRECIMIENTO Y DESARROLLO Y EN LOS PATRONES DE COMPORTAMIENTO DE LAS ESPECIES,1
03_EM,EM004,"ACIDIFICADORES (SOx, NOx,NH3)",DES015,SALUD DE LA POBLACIÓN,-1
03_EM,EM005,"PRECURSORES DEL OZONO TROPOSFÉRICO (NOx, COV, CH4, CO)",DES015,SALUD DE LA POBLACIÓN,-1
03_EM,EM007,"METALES PESADOS (As, Cd, Cr, Cu, Hg, Ni, Pb, Se, Zn)",DES015,SALUD DE LA POBLACIÓN,-1
03_EM,EM008,"PARTÍCULAS (PM2.5, PM10, PST, BC)",DES015,SALUD DE LA POBLACIÓN,-1
04_CC,CC002,"CALIDAD, COMFORT Y SEGURIDAD DEL ENTORNO",DES053,INCIDENCIA DE LA CRIMINALIDAD,-1
04_CC,CC027,PROLIFERACIÓN DE PLAGAS Y ENFERMEDADES EN LAS CIUDADES,DES050,SALUBRIDAD DEL ENTORNO,-1
04_CC,BIO004,SALUD DE LOS ECOSISTEMAS PERI-URBANOS,CC015,VULNERABILIDAD DEL ENTORNO NATURAL AL CC,-1
04_CC,CC029,INUNDACIONES,MC013,CALIDAD DE LAS INFRAESTRUCTURAS,-1
04_CC,CC002,"CALIDAD, COMFORT Y SEGURIDAD DEL ENTORNO",MS010,DESPLAZAMIENTOS A PIE,1
04_CC,CC002,"CALIDAD, COMFORT Y SEGURIDAD DEL ENTORNO",MS012,DESPLAZAMIENTOS EN BICI,1
04_CC,CC002,"CALIDAD, COMFORT Y SEGURIDAD DEL ENTORNO",MS014,DESPLAZAMIENTOS EN OTROS MODOS DE MICROMOVILIDAD,1
04_CC,CC032,MOVILIDAD ESTACIONAL,MS033,NECESIDADES DE DESPLAZAMIENTO DE LA POBLACIÓN,1
04_CC,CC033,MIGRACIONES INTRA E INTERMUNICIPALES,MS033,NECESIDADES DE DESPLAZAMIENTO DE LA POBLACIÓN,1
04_CC,CC031,PÉRDIDAS ECONÓMICAS,EC029,CAPACIDAD ECONÓMICA DE LA ENTIDAD LOCAL (PRESUPUESTO),-1
