LOOP,Tipo,Longitud,Nodos,Codigos,Bloque,ListaNodos
R049EX,Reinforcing (+),6,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → FORTALEZA INSTITUCIONAL → CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN,"GOB008 , GOB013 , GOB005 , OD003 , OD015 , GOB055",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'FORTALEZA INSTITUCIONAL', 'CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN']"
R050EX,Reinforcing (+),8,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → FORTALEZA INSTITUCIONAL → CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN → ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA → TRANSPARENCIA Y RENDICIÓN DE CUENTAS,"GOB008 , GOB013 , GOB005 , OD003 , OD015 , GOB055 , OD008 , GOB004",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'FORTALEZA INSTITUCIONAL', 'CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN', 'ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS']"
R051EX,Reinforcing (+),5,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → FORTALEZA INSTITUCIONAL → SEGURIDAD Y PRIVACIDAD DE LOS DATOS → TRANSPARENCIA Y RENDICIÓN DE CUENTAS,"GOB008 , GOB013 , GOB005 , OD004 , GOB004",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'FORTALEZA INSTITUCIONAL', 'SEGURIDAD Y PRIVACIDAD DE LOS DATOS', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS']"
R052EX,Reinforcing (+),7,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → FORTALEZA INSTITUCIONAL → SEGURIDAD Y PRIVACIDAD DE LOS DATOS → TRANSPARENCIA Y RENDICIÓN DE CUENTAS → INTERÉS DE LA CIUDADANÍA EN LA PARTICIPACIÓN → PARTICIPACIÓN EFECTIVA,"GOB008 , GOB013 , GOB005 , OD004 , GOB004 , GOB018 , GOB009",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'FORTALEZA INSTITUCIONAL', 'SEGURIDAD Y PRIVACIDAD DE LOS DATOS', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS', 'INTERÉS DE LA CIUDADANÍA EN LA PARTICIPACIÓN', 'PARTICIPACIÓN EFECTIVA']"
R053EX,Reinforcing (+),5,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → FORTALEZA INSTITUCIONAL → TRAZABILIDAD DE LOS DATOS → TRANSPARENCIA Y RENDICIÓN DE CUENTAS,"GOB008 , GOB013 , GOB005 , OD005 , GOB004",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'FORTALEZA INSTITUCIONAL', 'TRAZABILIDAD DE LOS DATOS', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS']"
R054EX,Reinforcing (+),7,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → FORTALEZA INSTITUCIONAL → TRAZABILIDAD DE LOS DATOS → TRANSPARENCIA Y RENDICIÓN DE CUENTAS → INTERÉS DE LA CIUDADANÍA EN LA PARTICIPACIÓN → PARTICIPACIÓN EFECTIVA,"GOB008 , GOB013 , GOB005 , OD005 , GOB004 , GOB018 , GOB009",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'FORTALEZA INSTITUCIONAL', 'TRAZABILIDAD DE LOS DATOS', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS', 'INTERÉS DE LA CIUDADANÍA EN LA PARTICIPACIÓN', 'PARTICIPACIÓN EFECTIVA']"
R055EX,Reinforcing (+),6,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → FORTALEZA INSTITUCIONAL → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA → TRANSPARENCIA Y RENDICIÓN DE CUENTAS,"GOB008 , GOB013 , GOB005 , OD015 , OD008 , GOB004",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'FORTALEZA INSTITUCIONAL', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS']"
R056EX,Reinforcing (+),8,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → FORTALEZA INSTITUCIONAL → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA → TRANSPARENCIA Y RENDICIÓN DE CUENTAS → INTERÉS DE LA CIUDADANÍA EN LA PARTICIPACIÓN → PARTICIPACIÓN EFECTIVA,"GOB008 , GOB013 , GOB005 , OD015 , OD008 , GOB004 , GOB018 , GOB009",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'FORTALEZA INSTITUCIONAL', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS', 'INTERÉS DE LA CIUDADANÍA EN LA PARTICIPACIÓN', 'PARTICIPACIÓN EFECTIVA']"
R057EX,Reinforcing (+),5,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → FORTALEZA INSTITUCIONAL → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN,"GOB008 , GOB013 , GOB005 , OD015 , GOB055",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'FORTALEZA INSTITUCIONAL', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN']"
R058EX,Reinforcing (+),7,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → FORTALEZA INSTITUCIONAL → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN → ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA → TRANSPARENCIA Y RENDICIÓN DE CUENTAS,"GOB008 , GOB013 , GOB005 , OD015 , GOB055 , OD008 , GOB004",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'FORTALEZA INSTITUCIONAL', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN', 'ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS']"
R059EX,Reinforcing (+),8,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → FORTALEZA INSTITUCIONAL → PARTICIPACIÓN EFECTIVA → COLABORACIÓN EFECTIVA → CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN,"GOB008 , GOB013 , GOB005 , GOB009 , GOB012 , OD003 , OD015 , GOB055",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'FORTALEZA INSTITUCIONAL', 'PARTICIPACIÓN EFECTIVA', 'COLABORACIÓN EFECTIVA', 'CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN']"
R060EX,Reinforcing (+),8,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → FORTALEZA INSTITUCIONAL → PARTICIPACIÓN EFECTIVA → COLABORACIÓN EFECTIVA → INCLUSIVIDAD DEL DATO → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN,"GOB008 , GOB013 , GOB005 , GOB009 , GOB012 , OD019 , OD015 , GOB055",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'FORTALEZA INSTITUCIONAL', 'PARTICIPACIÓN EFECTIVA', 'COLABORACIÓN EFECTIVA', 'INCLUSIVIDAD DEL DATO', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN']"
R061EX,Reinforcing (+),8,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → FORTALEZA INSTITUCIONAL → PARTICIPACIÓN EFECTIVA → INCLUSIVIDAD DEL DATO → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA → TRANSPARENCIA Y RENDICIÓN DE CUENTAS,"GOB008 , GOB013 , GOB005 , GOB009 , OD019 , OD015 , OD008 , GOB004",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'FORTALEZA INSTITUCIONAL', 'PARTICIPACIÓN EFECTIVA', 'INCLUSIVIDAD DEL DATO', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS']"
R062EX,Reinforcing (+),7,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → FORTALEZA INSTITUCIONAL → PARTICIPACIÓN EFECTIVA → INCLUSIVIDAD DEL DATO → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN,"GOB008 , GOB013 , GOB005 , GOB009 , OD019 , OD015 , GOB055",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'FORTALEZA INSTITUCIONAL', 'PARTICIPACIÓN EFECTIVA', 'INCLUSIVIDAD DEL DATO', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN']"
R063EX,Reinforcing (+),8,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD → IOT (smart cities) → ECONOMÍA COLABORATIVA → CONSUMO DE PRODUCTOS DE PROXIMIDAD Y DE TEMPORADA → AGRICULTURA URBANA → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN,"GOB008 , GOB013 , OD003 , ECC009 , ECC010 , ECC075 , ECC076 , GOB055",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD', 'IOT (smart cities)', 'ECONOMÍA COLABORATIVA', 'CONSUMO DE PRODUCTOS DE PROXIMIDAD Y DE TEMPORADA', 'AGRICULTURA URBANA', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN']"
R064EX,Reinforcing (+),7,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD → INCLUSIVIDAD DEL DATO → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA → TRANSPARENCIA Y RENDICIÓN DE CUENTAS,"GOB008 , GOB013 , OD003 , OD019 , OD015 , OD008 , GOB004",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD', 'INCLUSIVIDAD DEL DATO', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS']"
R065EX,Reinforcing (+),6,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD → INCLUSIVIDAD DEL DATO → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN,"GOB008 , GOB013 , OD003 , OD019 , OD015 , GOB055",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD', 'INCLUSIVIDAD DEL DATO', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN']"
R066EX,Reinforcing (+),8,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD → INCLUSIVIDAD DEL DATO → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN → ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA → TRANSPARENCIA Y RENDICIÓN DE CUENTAS,"GOB008 , GOB013 , OD003 , OD019 , OD015 , GOB055 , OD008 , GOB004",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD', 'INCLUSIVIDAD DEL DATO', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN', 'ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS']"
R067EX,Reinforcing (+),8,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA → TRANSPARENCIA Y RENDICIÓN DE CUENTAS → FORTALEZA INSTITUCIONAL → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN,"GOB008 , GOB013 , OD003 , OD015 , OD008 , GOB004 , GOB005 , GOB055",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS', 'FORTALEZA INSTITUCIONAL', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN']"
R068EX,Reinforcing (+),8,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA → TRANSPARENCIA Y RENDICIÓN DE CUENTAS → FORTALEZA INSTITUCIONAL → PARTICIPACIÓN EFECTIVA,"GOB008 , GOB013 , OD003 , OD015 , OD008 , GOB004 , GOB005 , GOB009",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS', 'FORTALEZA INSTITUCIONAL', 'PARTICIPACIÓN EFECTIVA']"
R069EX,Reinforcing (+),6,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA → TRANSPARENCIA Y RENDICIÓN DE CUENTAS,"GOB008 , GOB013 , OD003 , OD015 , OD008 , GOB004",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS']"
R070EX,Reinforcing (+),8,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA → TRANSPARENCIA Y RENDICIÓN DE CUENTAS → INTERÉS DE LA CIUDADANÍA EN LA PARTICIPACIÓN → PARTICIPACIÓN EFECTIVA,"GOB008 , GOB013 , OD003 , OD015 , OD008 , GOB004 , GOB018 , GOB009",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS', 'INTERÉS DE LA CIUDADANÍA EN LA PARTICIPACIÓN', 'PARTICIPACIÓN EFECTIVA']"
R071EX,Reinforcing (+),5,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN,"GOB008 , GOB013 , OD003 , OD015 , GOB055",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN']"
R072EX,Reinforcing (+),7,CULTURA Y MARCOS MENTALES → PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD → CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD → CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN → ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA → TRANSPARENCIA Y RENDICIÓN DE CUENTAS,"GOB008 , GOB013 , OD003 , OD015 , GOB055 , OD008 , GOB004",,"['CULTURA Y MARCOS MENTALES', 'PERFIL DEL EQUIPO TÉCNICO DE LA ENTIDAD', 'CAPACIDAD TECNOLÓGICA Y DISPONIBILIDAD DE MEDIOS DE LA ENTIDAD', 'CALIDAD DE LA INFORMACIÓN Y DATOS PUESTOS A DISPOSICIÓN DE LA POBLACIÓN', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN', 'ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS']"
R073EX,Reinforcing (+),6,CULTURA Y MARCOS MENTALES → CULTURA DEL INDIVIDUALISMO → ECONOMÍA COLABORATIVA → CONSUMO DE PRODUCTOS DE PROXIMIDAD Y DE TEMPORADA → AGRICULTURA URBANA → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN,"GOB008 , GOB071 , ECC010 , ECC075 , ECC076 , GOB055",,"['CULTURA Y MARCOS MENTALES', 'CULTURA DEL INDIVIDUALISMO', 'ECONOMÍA COLABORATIVA', 'CONSUMO DE PRODUCTOS DE PROXIMIDAD Y DE TEMPORADA', 'AGRICULTURA URBANA', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN']"
R074EX,Reinforcing (+),8,CULTURA Y MARCOS MENTALES → CULTURA DEL INDIVIDUALISMO → ECONOMÍA COLABORATIVA → CONSUMO DE PRODUCTOS DE PROXIMIDAD Y DE TEMPORADA → AGRICULTURA URBANA → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN → ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA → TRANSPARENCIA Y RENDICIÓN DE CUENTAS,"GOB008 , GOB071 , ECC010 , ECC075 , ECC076 , GOB055 , OD008 , GOB004",,"['CULTURA Y MARCOS MENTALES', 'CULTURA DEL INDIVIDUALISMO', 'ECONOMÍA COLABORATIVA', 'CONSUMO DE PRODUCTOS DE PROXIMIDAD Y DE TEMPORADA', 'AGRICULTURA URBANA', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN', 'ACCESIBILIDAD DE LA INFORMACIÓN PÚBLICA', 'TRANSPARENCIA Y RENDICIÓN DE CUENTAS']"
R075EX,Reinforcing (+),7,CULTURA Y MARCOS MENTALES → CULTURA DEL INDIVIDUALISMO → CALIDAD DE LA PLANIFICACIÓN URBANA → PLANIFICACIÓN PARA LA BIODIVERSIDAD URBANA → HUERTOS URBANOS → EDUCACIÓN SOBRE EL MEDIO NATURAL → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN,"GOB008 , GOB071 , MC010 , MC036 , MC098 , MC104 , GOB055",,"['CULTURA Y MARCOS MENTALES', 'CULTURA DEL INDIVIDUALISMO', 'CALIDAD DE LA PLANIFICACIÓN URBANA', 'PLANIFICACIÓN PARA LA BIODIVERSIDAD URBANA', 'HUERTOS URBANOS', 'EDUCACIÓN SOBRE EL MEDIO NATURAL', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN']"
R076EX,Reinforcing (+),7,CULTURA Y MARCOS MENTALES → CULTURA DEL INDIVIDUALISMO → CALIDAD DE LA PLANIFICACIÓN URBANA → PLANIFICACIÓN PARA LA BIODIVERSIDAD URBANA → HUERTOS URBANOS → AGRICULTURA URBANA → SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN,"GOB008 , GOB071 , MC010 , MC036 , MC098 , ECC076 , GOB055",,"['CULTURA Y MARCOS MENTALES', 'CULTURA DEL INDIVIDUALISMO', 'CALIDAD DE LA PLANIFICACIÓN URBANA', 'PLANIFICACIÓN PARA LA BIODIVERSIDAD URBANA', 'HUERTOS URBANOS', 'AGRICULTURA URBANA', 'SENSIBILIZACIÓN Y CONCIENCIACIÓN DE LA POBLACIÓN']"
